index,folder_name,clip_name
26,20200515,clip_2_0046
28,20200515,clip_4_0142
29,20200515,clip_5_0210
30,20200515,clip_6_0238
31,20200515,clip_7_0306
32,20200515,clip_8_0334
33,20200515,clip_9_0402
35,20200515,clip_11_0437
45,20200515,clip_21_0917
76,20200515,clip_52_2357
79,20200516,clip_2_0151
80,20200516,clip_3_0219
81,20200516,clip_4_0247
83,20200516,clip_6_0343
84,20200516,clip_7_0411
85,20200516,clip_8_0439
87,20200516,clip_10_0535
88,20200516,clip_11_0603
89,20200516,clip_12_0631
90,20200516,clip_13_0659
92,20200516,clip_15_0755
95,20200516,clip_18_0755
122,20200517,clip_4_0156
123,20200517,clip_5_0224
126,20200517,clip_8_0348
127,20200517,clip_9_0413
129,20200517,clip_11_0509
134,20200517,clip_16_0729
164,20200517,clip_46_2123
169,20200517,clip_51_2343
170,20200518,clip_0_0000
171,20200518,clip_1_0028
173,20200518,clip_3_0124
174,20200518,clip_4_0152
175,20200518,clip_5_0219
176,20200518,clip_6_0247
177,20200518,clip_7_0315
178,20200518,clip_8_0343
179,20200518,clip_9_0411
227,20200519,clip_3_0106
228,20200519,clip_4_0134
229,20200519,clip_5_0202
230,20200519,clip_6_0230
231,20200519,clip_7_0258
232,20200519,clip_8_0326
233,20200519,clip_9_0354
234,20200519,clip_10_0422
236,20200519,clip_12_0518
242,20200519,clip_18_0806
276,20200519,clip_52_2252
279,20200520,clip_0_0000
284,20200520,clip_5_0220
285,20200520,clip_6_0248
286,20200520,clip_7_0254
287,20200520,clip_8_0322
288,20200520,clip_9_0350
289,20200520,clip_10_0418
291,20200520,clip_12_0514
292,20200520,clip_13_0542
336,20200521,clip_2_0052
338,20200521,clip_4_0148
344,20200521,clip_10_0436
345,20200521,clip_11_0504
346,20200521,clip_12_0532
347,20200521,clip_13_0600
398,20200522,clip_10_0358
399,20200522,clip_11_0426
420,20200522,clip_32_1358
433,20200522,clip_45_1936
447,20200523,clip_4_0457
450,20200523,clip_7_0621
494,20200524,clip_4_0136
495,20200524,clip_5_0204
496,20200524,clip_6_0232
499,20200524,clip_9_0356
500,20200524,clip_10_0424
501,20200524,clip_11_0452
502,20200524,clip_12_0520
543,20200524,clip_53_2347
546,20200525,clip_2_0056
547,20200525,clip_3_0124
548,20200525,clip_4_0127
549,20200525,clip_5_0155
550,20200525,clip_6_0223
551,20200525,clip_7_0251
553,20200525,clip_9_0347
554,20200525,clip_10_0415
555,20200525,clip_11_0443
570,20200525,clip_26_1135
578,20200525,clip_34_1505
579,20200525,clip_35_1533
580,20200525,clip_36_1601
600,20200526,clip_2_0050
603,20200526,clip_5_0214
605,20200526,clip_7_0310
606,20200526,clip_8_0338
607,20200526,clip_9_0406
608,20200526,clip_10_0434
610,20200526,clip_12_0530
654,20200527,clip_3_0119
659,20200527,clip_8_0339
661,20200527,clip_10_0435
662,20200527,clip_11_0503
711,20200528,clip_5_0220
714,20200528,clip_8_0344
715,20200528,clip_9_0412
716,20200528,clip_10_0440
719,20200528,clip_13_0604
765,20200529,clip_6_0223
767,20200529,clip_8_0319
768,20200529,clip_9_0347
769,20200529,clip_10_0415
770,20200529,clip_11_0443
855,20200531,clip_12_0528
856,20200531,clip_13_0556
857,20200531,clip_14_0624
903,20200601,clip_5_0220
905,20200601,clip_7_0316
906,20200601,clip_8_0344
908,20200601,clip_10_0440
969,20200603,clip_6_0234
970,20200603,clip_7_0302
972,20200603,clip_9_0358
973,20200603,clip_10_0426
1019,20200604,clip_2_0056
1021,20200604,clip_4_0152
1023,20200604,clip_6_0229
1024,20200604,clip_7_0257
1025,20200604,clip_8_0325
1027,20200604,clip_10_0421
1028,20200604,clip_11_0449
1030,20200604,clip_13_0545
1070,20200604,clip_53_2328
1071,20200604,clip_54_2356
1072,20200605,clip_0_0000
1075,20200605,clip_3_0122
1076,20200605,clip_4_0150
1077,20200605,clip_5_0218
1078,20200605,clip_6_0246
1079,20200605,clip_7_0314
1081,20200605,clip_9_0410
1085,20200605,clip_13_0602
1131,20200606,clip_4_0152
1135,20200606,clip_8_0344
1177,20200606,clip_50_2208
1178,20200606,clip_51_2236
1179,20200606,clip_52_2304
1236,20200608,clip_1_0028
1237,20200608,clip_2_0056
1240,20200608,clip_5_0212
1245,20200608,clip_10_0432
1291,20200609,clip_3_0124
1294,20200609,clip_6_0248
1295,20200609,clip_7_0316
1298,20200609,clip_10_0445
1346,20200611,clip_8_0320
1347,20200611,clip_9_0348
1348,20200611,clip_10_0416
1412,20200613,clip_7_0316
1416,20200613,clip_11_0508
1417,20200613,clip_12_0512
1466,20200614,clip_7_0311
1467,20200614,clip_8_0339
1468,20200614,clip_9_0407
1469,20200614,clip_10_0435
1470,20200614,clip_11_0503
1471,20200614,clip_12_0531
1472,20200614,clip_13_0559
1473,20200614,clip_14_0610
1478,20200614,clip_19_0830
1520,20200615,clip_6_0248
1521,20200615,clip_7_0316
1522,20200615,clip_8_0344
1523,20200615,clip_9_0412
1575,20200616,clip_6_0248
1576,20200616,clip_7_0316
1577,20200616,clip_8_0344
1626,20200617,clip_3_0124
