index,folder_name,clip_name
11,20200514,clip_11_1812
22,20200514,clip_22_2307
63,20200515,clip_39_1757
99,20200516,clip_22_0947
100,20200516,clip_23_1015
101,20200516,clip_24_1043
108,20200516,clip_31_1356
114,20200516,clip_37_1630
116,20200516,clip_39_1726
140,20200517,clip_22_1017
144,20200517,clip_26_1209
145,20200517,clip_27_1236
190,20200518,clip_20_0903
195,20200518,clip_25_1123
198,20200518,clip_28_1247
202,20200518,clip_32_1439
204,20200518,clip_34_1535
209,20200518,clip_39_1730
211,20200518,clip_41_1826
213,20200518,clip_43_1922
215,20200518,clip_45_2018
216,20200518,clip_46_2046
248,20200519,clip_24_1043
256,20200519,clip_32_1422
258,20200519,clip_34_1518
264,20200519,clip_40_1739
268,20200519,clip_44_1931
269,20200519,clip_45_1959
270,20200519,clip_46_2027
271,20200519,clip_47_2055
313,20200520,clip_34_1505
316,20200520,clip_37_1628
317,20200520,clip_38_1656
318,20200520,clip_39_1724
319,20200520,clip_40_1752
324,20200520,clip_45_1946
327,20200520,clip_48_2110
369,20200521,clip_35_1551
370,20200521,clip_36_1619
371,20200521,clip_37_1637
375,20200521,clip_41_1829
376,20200521,clip_42_1857
377,20200521,clip_43_1925
379,20200521,clip_45_1954
380,20200521,clip_46_2022
382,20200521,clip_48_2118
383,20200521,clip_49_2146
415,20200522,clip_27_1138
416,20200522,clip_28_1206
417,20200522,clip_29_1234
463,20200523,clip_20_1208
465,20200523,clip_22_1304
466,20200523,clip_23_1332
467,20200523,clip_24_1400
468,20200523,clip_25_1428
469,20200523,clip_26_1456
470,20200523,clip_27_1524
471,20200523,clip_28_1552
472,20200523,clip_29_1620
473,20200523,clip_30_1626
474,20200523,clip_31_1654
476,20200523,clip_33_1750
480,20200523,clip_37_1942
482,20200523,clip_39_2018
531,20200524,clip_41_1834
577,20200525,clip_33_1437
584,20200525,clip_40_1753
586,20200525,clip_42_1849
588,20200525,clip_44_1945
589,20200525,clip_45_2013
590,20200525,clip_46_2019
591,20200525,clip_47_2047
613,20200526,clip_15_0654
619,20200526,clip_21_0942
623,20200526,clip_25_1124
624,20200526,clip_26_1152
625,20200526,clip_27_1220
634,20200526,clip_36_1617
644,20200526,clip_46_2046
645,20200526,clip_47_2114
678,20200527,clip_27_1218
689,20200527,clip_38_1701
698,20200527,clip_47_2050
699,20200527,clip_48_2118
727,20200528,clip_21_0938
730,20200528,clip_24_1102
786,20200529,clip_27_1215
794,20200529,clip_35_1834
796,20200529,clip_37_1930
800,20200529,clip_41_2058
801,20200529,clip_42_2126
802,20200529,clip_43_2154
817,20200530,clip_10_1302
820,20200530,clip_13_1426
822,20200530,clip_15_1522
823,20200530,clip_16_1550
824,20200530,clip_17_1556
828,20200530,clip_21_1748
831,20200530,clip_24_1844
840,20200530,clip_33_2238
868,20200531,clip_25_1118
869,20200531,clip_26_1146
